,qt_mat_bas,qt_doc_bas,qt_mat_esp,alunos_por_docente,indice_infra_basica,indice_prontidao_digital,qt_mat_esp_sem_acessibilidade
count,178346.0,178111.0,178346.0,178111.0,184332.0,184332.0,184332.0
mean,265.67500252318524,16.418446923547677,8.566460699987664,15.800110492811404,0.940316023985707,0.537430650492951,0.833962632641104
std,340.90282240119126,15.562430331891566,15.667279612625556,25.754327016356584,0.20006664301798707,0.34467547588657216,4.2203497066488636
min,1.0,1.0,0.0,0.1,0.0,0.0,0.0
25%,67.0,6.0,0.0,10.11111111111111,1.0,0.3333333333333333,0.0
50%,160.0,12.0,3.0,14.5,1.0,0.6666666666666666,0.0
75%,353.0,22.0,10.0,19.5,1.0,0.6666666666666666,0.0
90%,638.0,36.0,24.0,24.8,1.0,1.0,1.0
99%,1391.5499999999884,72.0,67.0,41.0,1.0,1.0,18.0
max,40174.0,338.0,547.0,8950.0,1.0,1.0,328.0
